Feature,Importance
MonthlyIncome,0.07753616933075233
Age,0.06906580402373887
TotalWorkingYears,0.06322422710286393
DailyRate,0.05606712498532184
HourlyRate,0.05292115810073951
MonthlyRate,0.05054653494079031
DistanceFromHome,0.04858760925978165
YearsAtCompany,0.04242798494315104
OverTime,0.04021449407613841
NumCompaniesWorked,0.03717788951885868
PercentSalaryHike,0.03516123064212005
YearsWithCurrManager,0.03438821420995068
JobRole,0.03187404635382916
EnvironmentSatisfaction,0.031149665647766504
YearsInCurrentRole,0.029380722447721604
JobInvolvement,0.027097305535316286
TrainingTimesLastYear,0.0260620894117258
WorkLifeBalance,0.025762706405448595
JobSatisfaction,0.025585795388180413
RelationshipSatisfaction,0.025433050793232336
StockOptionLevel,0.02497502640706938
YearsSinceLastPromotion,0.023370298696451783
MaritalStatus,0.023071598761305923
EducationField,0.021572078201582176
Education,0.019146500833647953
JobLevel,0.01909518163281843
BusinessTravel,0.013018272225273306
Department,0.01263212796187554
Gender,0.008522087689062601
PerformanceRating,0.0049330044734848255
